time_min,gRNA1_replicate1_20fM,gRNA2_replicate1_20fM,gRNA3_replicate1_20fM,gRNA4_replicate1_20fM,gRNA5_replicate1_20fM,gRNA6_replicate1_20fM,gRNA1_replicate1_2fM,gRNA2_replicate1_2fM,gRNA3_replicate1_2fM,gRNA4_replicate1_2fM,gRNA5_replicate1_2fM,gRNA6_replicate1_2fM,gRNA1_replicate1_0fM,gRNA2_replicate1_0fM,gRNA3_replicate1_0fM,gRNA4_replicate1_0fM,gRNA5_replicate1_0fM,gRNA6_replicate1_0fM,gRNA1_replicate2_20fM,gRNA2_replicate2_20fM,gRNA3_replicate2_20fM,gRNA4_replicate2_20fM,gRNA5_replicate2_20fM,gRNA6_replicate2_20fM,gRNA1_replicate2_2fM,gRNA2_replicate2_2fM,gRNA3_replicate2_2fM,gRNA4_replicate2_2fM,gRNA5_replicate2_2fM,gRNA6_replicate2_2fM,gRNA1_replicate2_0fM,gRNA2_replicate2_0fM,gRNA3_replicate2_0fM,gRNA4_replicate2_0fM,gRNA5_replicate2_0fM,gRNA6_replicate2_0fM,gRNA1_replicate3_20fM,gRNA2_replicate3_20fM,gRNA3_replicate3_20fM,gRNA4_replicate3_20fM,gRNA5_replicate3_20fM,gRNA6_replicate3_20fM,gRNA1_replicate3_2fM,gRNA2_replicate3_2fM,gRNA3_replicate3_2fM,gRNA4_replicate3_2fM,gRNA5_replicate3_2fM,gRNA6_replicate3_2fM,gRNA1_replicate3_0fM,gRNA2_replicate3_0fM,gRNA3_replicate3_0fM,gRNA4_replicate3_0fM,gRNA5_replicate3_0fM,gRNA6_replicate3_0fM
60,0.916019127,1.282981812,1.318418581,1.413201264,0.103962087,0.223294339,0.385534967,1.094697293,0.201092989,1.007386218,0.093288361,0.19447528,0.114849287,1.200367176,0.071727436,0.121253522,0.097771326,0.221159594,1.303902314,1.296217232,1.193749466,1.357270942,0.107591154,0.232260268,0.540730937,1.075698062,0.075783451,0.244001366,0.088591922,0.18977884,0.108231577,1.214883443,0.06767142,0.105029459,0.100546495,0.227990778,1.160447443,1.21381607,1.243489027,1.418538127,0.099265648,0.236743233,0.336222355,1.099180258,1.022756383,0.393860473,0.091580565,0.187217146,0.109939373,1.246477671,0.07001964,0.000640424,0.10033302,0.21198019
63,1.287464777,1.315856887,1.374348903,1.412774315,0.109512424,0.227563829,0.565707455,1.116898642,0.307616771,1.270813765,0.095423106,0.196823499,0.116343609,1.213389121,0.072367859,0.122747844,0.098625224,0.221586543,1.405729656,1.327811459,1.331654001,1.360686534,0.112928016,0.245282213,0.739262232,1.085944838,0.079625993,0.39322005,0.089659295,0.193834856,0.109512424,1.214243019,0.068098369,0.104389036,0.102040816,0.226923405,1.348091538,1.234950047,1.397617624,1.41063957,0.104389036,0.243787892,0.520237384,1.10024763,1.217018188,0.645119973,0.094142259,0.191273162,0.110579797,1.254589702,0.070873538,0.000853898,0.101186918,0.214328409
66,1.449278456,1.339339083,1.382033985,1.398258048,0.113781914,0.233968064,0.748228162,1.137178721,0.431005038,1.370292887,0.098838699,0.206216378,0.116343609,1.215310392,0.073008283,0.122747844,0.099692597,0.225002135,1.414268636,1.345102895,1.353641875,1.352787977,0.119545726,0.285628896,0.926692853,1.087652634,0.085816753,0.5678422,0.090086244,0.200239091,0.108872001,1.212962172,0.067884895,0.105883358,0.102894714,0.228204252,1.380539664,1.249252839,1.412774315,1.412133891,0.108445052,0.261506276,0.721116899,1.110921356,1.293015114,0.893177355,0.094782683,0.192554009,0.111006746,1.250106737,0.070873538,0.000853898,0.10268124,0.213047562
69,1.499658441,1.355990095,1.380539664,1.399111946,0.119332252,0.250619076,0.915378704,1.153829733,0.553112458,1.386303475,0.101186918,0.231192896,0.11591666,1.217872086,0.073862181,0.122747844,0.100546495,0.226282982,1.416403381,1.366236871,1.358765263,1.359405687,0.124669115,0.356929383,1.084023568,1.095764666,0.092647938,0.758901887,0.091153616,0.212407139,0.10929895,1.214883443,0.069379216,0.10460251,0.103748612,0.231192896,1.380539664,1.267184698,1.423021091,1.404662283,0.113141491,0.307616771,0.913884382,1.118392964,1.315429938,1.094270344,0.097130903,0.192554009,0.110579797,1.253308855,0.072367859,0.001067373,0.102040816,0.214968833
72,1.501793186,1.369865938,1.383741781,1.388224746,0.125736487,0.291819657,1.056058407,1.174109811,0.676073777,1.39313466,0.105029459,0.287977116,0.117197507,1.212321749,0.07428913,0.123815216,0.102040816,0.226709931,1.409572197,1.375416275,1.35577662,1.351293656,0.130005977,0.448082999,1.209973529,1.098753309,0.101400393,0.944624712,0.092647938,0.243787892,0.110366322,1.218085561,0.068738793,0.106523781,0.104389036,0.23375459,1.368371616,1.284476134,1.416616856,1.400819742,0.118905303,0.391512253,1.077192383,1.131841858,1.321193749,1.23559047,0.099906071,0.195329178,0.111006746,1.253949278,0.072794808,0.000640424,0.103321663,0.215395782
75,1.499871915,1.391853813,1.383528307,1.394202032,0.129792503,0.355435061,1.165357356,1.182221843,0.784518828,1.39313466,0.108872001,0.374434293,0.117410981,1.215950815,0.075143028,0.124028691,0.10268124,0.228417727,1.401033217,1.393348134,1.356843993,1.335496542,0.134915891,0.55460678,1.309025702,1.10494407,0.111860644,1.10921356,0.093074887,0.296516096,0.11122022,1.216377764,0.070446589,0.106310307,0.105456409,0.236102809,1.366877295,1.305396636,1.416403381,1.386730424,0.123174793,0.494833917,1.212962172,1.133122705,1.324395867,1.297711553,0.101186918,0.195969601,0.111860644,1.245837247,0.072367859,0.000853898,0.104389036,0.216890103
78,1.500725813,1.389078644,1.385022628,1.386303475,0.133848518,0.440397916,1.240500384,1.2010076,0.873751174,1.382460934,0.111860644,0.477329007,0.118905303,1.212108274,0.075143028,0.124882589,0.103108189,0.231833319,1.396123303,1.403808385,1.358551789,1.334429169,0.137264111,0.659849714,1.356203569,1.105157544,0.125309538,1.218299035,0.093501836,0.367176159,0.111647169,1.215523866,0.07001964,0.107164205,0.105883358,0.23802408,1.366023397,1.313295193,1.402527538,1.385236103,0.126376911,0.608402357,1.298778926,1.146571599,1.320980275,1.337631287,0.103748612,0.197036974,0.112928016,1.25309538,0.073648706,0.000426949,0.107164205,0.217317052
81,1.496883272,1.398258048,1.385876526,1.374562377,0.137050636,0.536674921,1.306037059,1.201434549,0.954658014,1.383955256,0.116557083,0.590043549,0.118478354,1.218939459,0.076423875,0.125736487,0.103321663,0.233541115,1.407650926,1.41256084,1.352574503,1.333575271,0.141533601,0.761036632,1.388865169,1.109853983,0.142174024,1.300700196,0.094355734,0.453846811,0.111860644,1.226411067,0.071087012,0.107377679,0.106737256,0.239731876,1.367304244,1.317137734,1.395909828,1.383528307,0.130219452,0.718768679,1.350653232,1.147212023,1.317351208,1.343181624,0.105242934,0.200879515,0.113354965,1.255657075,0.074716079,0.001067373,0.10695073,0.218384425
84,1.491332935,1.40402186,1.373921954,1.373708479,0.141533601,0.629322859,1.33208095,1.207198361,1.027879771,1.374348903,0.12018615,0.695286483,0.118905303,1.215523866,0.077277773,0.126376911,0.104389036,0.236316284,1.40594313,1.425582785,1.351080181,1.326744087,0.145589617,0.844505166,1.390999915,1.105584493,0.15946546,1.331440526,0.094355734,0.554820254,0.112714542,1.219793357,0.071513961,0.107591154,0.107591154,0.241439672,1.370506362,1.336777389,1.392707711,1.386303475,0.133848518,0.825932884,1.362607805,1.15276236,1.317778157,1.342754675,0.107377679,0.206856801,0.114422338,1.259926565,0.075356502,0,0.107164205,0.218384425
87,1.499231492,1.39975237,1.382460934,1.366236871,0.144949193,0.723892067,1.343822048,1.219579882,1.083810093,1.372641107,0.123388267,0.787934421,0.119118777,1.221714627,0.07663735,0.125949962,0.104389036,0.236743233,1.399538895,1.419392025,1.347451114,1.326530612,0.149645632,0.922209888,1.403594911,1.117112117,0.179105115,1.342541201,0.095850056,0.654512851,0.113141491,1.225770643,0.071300487,0.108231577,0.108231577,0.244428315,1.359832636,1.325036291,1.381607036,1.383955256,0.137477585,0.922423363,1.365809922,1.167492101,1.308598753,1.343395099,0.108872001,0.212407139,0.114635812,1.261420886,0.074502604,0.001067373,0.107591154,0.218384425
